X,Y,Employee_t
-8900620.343,4482099.87,cns19
-8900648.564,4482445.63,cns19
-8900422.502,4481955.053,cns20
-8900363.23,4481980.362,cns20
-8900436.345,4481967.986,cns12
-8900558.594,4481966.035,cns13
-8900496.879,4481930.026,cns15
-8900522.869,4481863.469,cns18
-8900416.858,4480797.691,cns05
-8900605.088,4480585.699,cns05
-8900679.667,4480685.322,cns05
-8900619.641,4480772.354,cns07
-8900724.453,4480563.486,cns07
-8900685.83,4480623.598,cns07
-8900535.49,4480465.908,cns08
-8900478.12,4480589.013,cns08
-8900598.583,4480689.054,cns09
-8900347.677,4480753.055,cns10
-8900444.335,4480744.651,cns12
-8900534.055,4480593.422,cns12
-8900432.372,4480656.03,cns12
-8900728.814,4480633.458,cns12
-8900687.576,4480797.709,cns13
-8900500.648,4480677.094,cns13
-8900555.939,4480804.715,cns14
-8900635.618,4480627.949,cns15
-8900665.481,4480551.28,cns16
-8900682.489,4480738.36,cns16
-8900543.35,4480734.382,cns16
-8900549.465,4480663.192,cns16
-8900496.406,4480788.248,cns16
-8900637.685,4480841.453,cns18
-8900478.427,4480857.4,cns18
-8900593.797,4480865.313,cns20
-8900555.141,4480534.605,cns20
-8900390.859,4480697.264,cns20
-8899997.513,4484553.875,cns05
-8899835.86,4484392.331,cns06
-8899926.27,4484250.82,cns08
-8899887.677,4484357.157,cns10
-8900088.514,4484282.618,cns12
-8899984.855,4484461.858,cns12
-8900041.559,4484316.026,cns12
-8899943.385,4484507.233,cns13
-8899889.314,4484465.916,cns15
-8899934.831,4484410.839,cns15
-8900056.962,4484227.737,cns16
-8899937.557,4484305.998,cns16
-8900027.654,4484472.65,cns18
-8900030.43,4484399.438,cns18
-8899995.548,4484264.256,cns18
-8899986.069,4484361.039,cns18
-8899920.782,4483665.654,cns04
-8899860.367,4483555.826,cns04
-8900077.822,4483611.945,cns05
-8900018.446,4483515.901,cns05
-8900085.248,4483541.254,cns06
-8899962.282,4483558.825,cns06
-8899939.964,4483490.949,cns07
-8899994.051,4483444.259,cns13
-8899914.445,4483602.525,cns13
-8899931.342,4483735.45,cns14
-8900001.484,4483721.834,cns15
-8899981.317,4483627.694,cns15
-8900037.962,4483671.245,cns16
-8900032.554,4483577.895,cns20
-8899892.888,4483902.959,cns14
-8900032.311,4483999.847,cns15
-8899953.422,4483865,cns16
-8899912.069,4483728.254,cns16
-8899990.581,4483803.971,cns16
-8899934.388,4483796.131,cns18
-8899973.59,4483959.14,cns18
-8900015.136,4483901.009,cns18
-8900276.423,4483162.383,cns13
-8900398.672,4483160.433,cns13
-8900336.957,4483124.424,cns14
-8900362.947,4483057.866,cns16
-8899846.964,4483570.973,cns07
-8899888.464,4483464.144,cns07
-8900003.097,4483521.612,cns08
-8899907.499,4483533.013,cns14
-8899961.551,4483579.743,cns16
-8899933.488,4483466.456,cns18
-8900059.877,4483564.987,cns19
-8899748.86,4483105.521,cns04
-8899932.692,4483221.689,cns04
-8900172.306,4483052.936,cns04
-8900062.856,4482870.27,cns04
-8899994.293,4483112.871,cns05
-8899790.403,4483256.039,cns05
-8899840.526,4482857.927,cns05
-8899848.537,4483214.497,cns05
-8900056.186,4482759.639,cns06
-8899897.62,4482832.574,cns06
-8899868.738,4482781.873,cns06
-8899759.643,4482833.867,cns06
-8899941.955,4482733.042,cns07
-8899990.216,4482875.493,cns07
-8900281.09,4482950.885,cns07
-8899812.535,4483117.351,cns07
-8899774.051,4483038.657,cns07
-8899876.459,4483148.727,cns07
-8899909.411,4483106.709,cns07
-8900007.866,4483003.389,cns07
-8899880.43,4482938.623,cns07
-8900055.481,4483224.911,cns08
-8899993.751,4483256.101,cns08
-8899908.506,4483022.462,cns08
-8900105.715,4482811.139,cns08
-8899782.203,4482899.203,cns09
-8900245.88,4483076.125,cns10
-8900036.075,4483313.668,cns10
-8899790.931,4482986.598,cns12
-8899999.936,4482755.878,cns12
-8899871.713,4482715.728,cns12
-8900295.006,4483074.591,cns12
-8900134.946,4482857.867,cns13
-8900093.951,4483150.68,cns13
-8899980.878,4482802.698,cns14
-8899844.006,4483053.204,cns14
-8900261.09,4483027.017,cns15
-8900020.65,4482933.091,cns15
-8900203.349,4482839.347,cns16
-8900092.062,4482935.48,cns16
-8900045.278,4483064.263,cns16
-8900079.275,4483000.923,cns16
-8899801.621,4483187.964,cns16
-8899956.008,4483052.542,cns16
-8899958.571,4482663.55,cns16
-8899846.332,4483001.414,cns16
-8899935.533,4482893.137,cns16
-8899948.673,4482963.37,cns16
-8900157.81,4482920.694,cns16
-8899827.622,4482943.74,cns16
-8900040.259,4483122.378,cns16
-8900120.991,4483253.437,cns16
-8900037.788,4482803.361,cns16
-8900150.412,4483007.615,cns18
-8900149.253,4482790.342,cns18
-8900111.655,4483090.709,cns18
-8899945.83,4483165.375,cns19
-8900007.842,4483186.052,cns19
-8900217.987,4482984.401,cns20
-8899746.742,4482959.638,cns20
-8900208.286,4482910.628,cns20
-8900009.909,4482699.913,cns20
-8899914.95,4482775.15,cns20
-8900195.937,4483127.223,cns20
-8899697.521,4483731.175,cns03
-8899830.343,4483769.347,cns04
-8899922.046,4483741.21,cns05
-8899847.38,4483853.126,cns06
-8899821.829,4483528.311,cns06
-8899766.275,4483512.974,cns07
-8899777.07,4483721.732,cns09
-8899750.888,4483593.704,cns10
-8899871.114,4483522.857,cns12
-8899879.247,4483622.538,cns13
-8899924.724,4483669.809,cns13
-8899807.587,4483598.328,cns14
-8899724.999,4483678.136,cns14
-8899691.492,4483565.346,cns15
-8899873.391,4483719.511,cns16
-8899823.482,4483469.598,cns16
-8899636.709,4483672.829,cns16
-8899971.578,4483573.577,cns16
-8899760.606,4483791.261,cns16
-8899969.523,4483801.845,cns18
-8899824.014,4483667.866,cns18
-8899684.221,4483619.463,cns18
-8899916.281,4483561.433,cns19
-8899898.078,4483802.776,cns19
-8899952.055,4483476.166,cns04
-8899942.004,4483384.742,cns04
-8900293.497,4483306.157,cns04
-8900154.707,4483310.48,cns05
-8900251.637,4483511.154,cns05
-8900281.206,4483376.526,cns05
-8900216.073,4483216.857,cns05
-8900257.356,4483462.809,cns05
-8900414.068,4483337.84,cns06
-8900013.653,4483439.958,cns06
-8900082.309,4483420.166,cns06
-8900385.226,4483550.997,cns07
-8900178.647,4483056.47,cns07
-8900323.41,4483435.567,cns07
-8900030.945,4483302.427,cns07
-8900100.493,4483140.465,cns08
-8900265.653,4483191.526,cns08
-8900011.92,4483370.006,cns08
-8900090.103,4483279.958,cns08
-8900089.24,4483554.411,cns10
-8900157.03,4483245.882,cns12
-8900280.405,4483121.614,cns13
-8899892.583,4483352.28,cns13
-8900154.653,4483451.087,cns13
-8900464.575,4483388.38,cns14
-8900379.546,4483479.772,cns14
-8900349.943,4483262.349,cns14
-8900219.708,4483340.148,cns14
-8900010.845,4483233.861,cns14
-8900352.623,4483374.307,cns14
-8900119.375,4483081.778,cns15
-8900299.029,4483507.076,cns15
-8900133.473,4483537.849,cns15
-8900085.561,4483477.719,cns15
-8900167.939,4483164.052,cns16
-8900141.923,4483380.778,cns16
-8900232.734,4483286.339,cns16
-8900021.573,4483531.465,cns16
-8900186.687,4483105.743,cns16
-8899973.32,4483328.172,cns16
-8900037.71,4483166.039,cns16
-8900255.79,4483582.485,cns16
-8900413.025,4483412.477,cns16
-8900327.635,4483562.372,cns17
-8899902.444,4483444.242,cns18
-8900302.13,4483252.964,cns18
-8900323.026,4483209.882,cns18
-8900095.045,4483208.678,cns18
-8900232.907,4483098.929,cns18
-8900218.992,4483420.009,cns19
-8900189.931,4483494.056,cns19
-8900079.33,4483346.319,cns19
-8899971.905,4483182.772,cns04
-8900190.665,4483013.03,cns04
-8900196.429,4483192.807,cns05
-8900088.56,4483291.479,cns07
-8900172.461,4483254.372,cns07
-8899983.403,4483002.305,cns07
-8900023.24,4483215.409,cns08
-8900098.397,4483119.462,cns12
-8900147.775,4483171.107,cns12
-8900051.453,4483173.328,cns13
-8900104.512,4483048.273,cns14
-8900106.101,4483222.214,cns14
-8900012.03,4483115.917,cns14
-8900033.252,4483053.495,cns14
-8900096.213,4482979.907,cns14
-8900153.63,4483074.134,cns14
-8900199.108,4483121.405,cns16
-8899899.162,4483135.819,cns16
-8900245.962,4483025.174,cns16
-8900097.866,4482921.194,cns16
-8900243.907,4483253.442,cns18
-8900145.498,4482974.453,cns18
-8899948.185,4483083.838,cns18
-8899913.789,4483021.21,cns18
-8900040.659,4482964.571,cns18
-8899914.922,4484397.247,cns04
-8899968.288,4484259.776,cns05
-8900039.23,4484194.383,cns06
-8900061.582,4484428.078,cns07
-8900089.94,4484190.878,cns08
-8899977.884,4484157.75,cns12
-8900041.414,4484333.938,cns12
-8899995.897,4484389.015,cns13
-8900091.438,4484384.957,cns14
-8899842.179,4484350.295,cns16
-8899891.201,4484298.313,cns16
-8900133.681,4484227.506,cns16
-8900024.987,4484264.401,cns16
-8900096.647,4484288.61,cns16
-8900194.943,4484371.76,cns17
-8900159.33,4484309.816,cns18
-8900134.237,4484395.749,cns18
-8900157.88,4484168.756,cns19
-8899908.892,4484231.418,cns19
-8899991.44,4484441.693,cns19
-8899955.047,4484330.393,cns20
-8899943.141,4484604.774,cns04
-8900107.606,4484480.373,cns06
-8900054.913,4484517.015,cns07
-8899962.322,4484430.068,cns08
-8900016.409,4484383.379,cns15
-8900040.804,4484455.021,cns16
-8899984.64,4484497.945,cns16
-8900003.675,4484566.814,cns18
-8899936.803,4484541.645,cns19
-8900102.888,4483911.372,cns05
-8900163.422,4483873.412,cns07
-8900003.885,4484285.559,cns05
-8900277.942,4484127.962,cns05
-8900049.779,4484035.317,cns05
-8900327.246,4484230.577,cns05
-8899924.841,4484080.407,cns05
-8900141.823,4483990.886,cns05
-8900167.433,4484061.569,cns05
-8900117.509,4484058.074,cns06
-8900055.22,4484318.197,cns06
-8900210.483,4484409.163,cns06
-8900062.503,4484102.099,cns07
-8900130.378,4484222.25,cns07
-8900192.662,4484257.264,cns08
-8899931.142,4484238.607,cns10
-8900240.308,4484222.895,cns13
-8900048.531,4483981.7,cns13
-8900044.01,4484218.705,cns13
-8900185.611,4484176.922,cns13
-8900109.222,4484364.984,cns14
-8899996.133,4484075.635,cns15
-8899980.165,4484186.625,cns15
-8899945.769,4484123.998,cns16
-8900198.772,4484338.678,cns16
-8900130.761,4484131.131,cns16
-8900080.28,4484171.304,cns16
-8900083.434,4484276.116,cns18
-8900146.21,4484311.556,cns18
-8900253.069,4484352.384,cns18
-8900019.4,4484143.899,cns18
-8900111.207,4483947.392,cns18
-8900208.783,4484119.84,cns19
-8900276.088,4484284.742,cns20
-8900276.571,4484056.523,cns20
-8899750.606,4484034.639,cns05
-8899913.501,4484161.674,cns05
-8899787.857,4483865.177,cns05
-8899756.344,4484176.29,cns05
-8899720.667,4483969.763,cns06
-8899844.983,4483861.892,cns06
-8899633.513,4484027.477,cns06
-8899810.461,4484078.383,cns06
-8899952.511,4483987.399,cns07
-8899871.653,4484103.759,cns07
-8899806.228,4483957.146,cns08
-8899922.713,4484097.503,cns08
-8899896.065,4484031.207,cns08
-8899822.254,4484146.878,cns08
-8899871.561,4483928.216,cns08
-8899950.061,4484218.786,cns08
-8899736.631,4483837.355,cns12
-8899699.249,4484161.132,cns12
-8899744.491,4484105.829,cns12
-8899684.068,4483914.616,cns13
-8899835.303,4484011.389,cns14
-8899744.177,4483921.721,cns14
-8899689.649,4484060.029,cns15
-8899963.873,4484146.049,cns16
-8899759.431,4484247.675,cns16
-8899884.129,4484210.843,cns16
-8899904.698,4483978.014,cns16
-8899925.594,4483934.933,cns18
-8899887.037,4484265.635,cns18
-8899676.616,4483985.678,cns18
-8899838.826,4484212.9,cns18
-8900007.936,4484089.802,cns20
-8899734.599,4484009.337,cns05
-8899882.594,4484016.841,cns05
-8899822.718,4483863.961,cns08
-8899774.832,4483810.931,cns10
-8899887.803,4483920.494,cns10
-8899832.039,4483767.554,cns11
-8899978.08,4484099.802,cns15
-8899785.416,4483912.14,cns15
-8899711.621,4483893.954,cns15
-8899837.697,4484072.425,cns16
-8899733.599,4483947.315,cns16
-8899787.053,4484020.899,cns16
-8899980.135,4483871.534,cns17
-8899879.671,4483820.813,cns17
-8899931.728,4484009.159,cns18
-8899906.634,4484100.733,cns18
-8899832.57,4483965.822,cns20
-8899924.838,4483859.39,cns20
-8901217.205,4477068.577,cns07
-8901294.716,4477015.893,cns14
-8901414.472,4476909.404,cns14
-8901183.741,4476954.387,cns14
-8901166.939,4477075.482,cns15
-8901426.397,4476979.853,cns15
-8901374.395,4476839.126,cns16
-8901288.262,4476848.321,cns16
-8901282.128,4476945.559,cns16
-8901235.184,4476999.425,cns17
-8901234.973,4476891.877,cns18
-8901337.361,4476900.231,cns18
-8901358.419,4476983.531,cns19
-8901233.066,4476843.952,cns19
-8901342.889,4477144.302,cns06
-8901227.734,4477120.311,cns15
-8901170.703,4477008.612,cns16
-8901271.573,4477106.899,cns16
-8901337.596,4477073.047,cns18
-8901386.537,4477028.702,cns18
-8901353.584,4476627.721,cns05
-8901578.04,4476696.401,cns06
-8901292.112,4476591.3,cns07
-8901477.669,4476624.197,cns07
-8901327.853,4476527.921,cns12
-8901553.656,4476632.464,cns12
-8901448.555,4476545.088,cns14
-8901530.547,4476522.933,cns14
-8901387.141,4476567.799,cns18
-8901527.606,4476678.958,cns18
-8901521.375,4476567.672,cns19
-8901529.214,4476730.76,cns19
-8901266.846,4476662.609,cns19
-8901054.032,4477108.538,cns05
-8901230.54,4477110.692,cns07
-8901081.261,4477023.526,cns08
-8900956.733,4476969.26,cns10
-8901177.209,4477128.973,cns11
-8901164.342,4477049.383,cns15
-8901023.012,4476995.949,cns16
-8901107.97,4477093.287,cns16
-8901096.102,4477144.623,cns16
-8901030.568,4477041.049,cns18
-8901226.229,4477011.719,cns19
-8900997.275,4477073.214,cns05
-8900846.961,4477036.149,cns05
-8901010.322,4476898.825,cns07
-8900952.001,4476859.999,cns07
-8900865.659,4476982.293,cns07
-8900990.035,4476806.499,cns07
-8900982.515,4477003.304,cns07
-8900830.182,4476789.541,cns10
-8900935.644,4476996.695,cns14
-8900900.568,4476816.745,cns16
-8900842.088,4476847.241,cns16
-8900940.344,4476755.156,cns16
-8900874.212,4476911.064,cns16
-8900798.419,4477006.46,cns16
-8901019.665,4476848.537,cns16
